,,,,,,,,,,
,Universo Subte Publicitario,,,,,,,,,
,,,,,,,,,,
,TÍTULO DE LA TESIS,,"Universo Subte Publicitario: tiempo, velocidad y formas de vida en la Ciudad de Buenos Aires",,,,,,,
,SECCIÓN,,Base de datos: Subte Línea B y D,,,,,,,
,ÚLTIMA ACTUALIZACIÓN,,26.08.22,,,,,,,
,,,,,,,,,,
,LÍNEA SUBTE,ANUNCIANTE & MARCA,DISPOSITIVO,AÑO,PRODUCTO,CATEGORÍA TIEMPO,CATEGORÍA FORMA DE VIDA,,,NOTAS
,,,,,,,,ORIENTACIÓN DEL TIEMPO,ESCALA CROMÁTICA,
,,,,,,,,,,
,B,"Bayer, Actron",Interior de vagón,2018,Droga,Planeación del tiempo,[En análisis],Presente,Cálido,"Más tiempo para ir al after del trabajo. Menos, para un dolor."
,B,"Milka, Chocolate Milka",Transiluminado,2018,Gastronomía,Planeación del tiempo,[En análisis],Futuro,Frío,"En el próximo viaje, probá compartir el diario con el de al lado."
,B,"Milka, Chocolate Milka",Indicador de andén,2018,Gastronomía,Planeación del tiempo,[En análisis],Futuro,Frío,Probá llegar a la oficina con algo rico para todos.
,B,Destinet,SubtePass,2010,Turismo,Metáforas ontológicas,[En análisis],Presente,Frío,Llevá tu cuerpo a donde está tu mente.
,B,Coca-Cola,Interior de vagón,2017,Gastronomía,Metáforas orientacionales,[En análisis],Pasado,Cálido,Yo ya fui y vine.
,B,Bimbo,Interior de vagón,2017,Gastronomía,Metáforas ontológicas,[En análisis],Presente,Frío,Hay un pan que va bien con tus ganas de estar bien. Hoy arranco el gimnasio.
,B,Ripio,Interior de vagón,2017,NTICX,Tiempo orientado,[En análisis],Presente,Frío,El futuro es de quien tiene bitcoins.
,B,Destinet,SubtePass,2008,Turismo,El tiempo es dinero,[En análisis],Presente,Frío,Comprá tu paquete por telefóno y escapate de la rutina.
,B,Metrogas,Transiluminado,2022,Electrónica,Planeación del tiempo,[En análisis],Presente,Frío,A resolver mis trámites antes que pase el Subte
,B,William Hope,Transiluminado,2022,Salud,Planeación del tiempo,[En análisis],Presente,Frío,"Un chequeo de rutina es salud. Vivir tu rutina diaria con una sonrisa, también."
,B,FiberTel,SubtePass,2004,Electrónica,Planeación del tiempo,[En análisis],Presente,Frío,Conectate a FiberTel. No des m´sa vueltas.
,B,"Disco, Disco Virtual",SubtePass,2001,Electrónica,Planeación del tiempo,[En análisis],Presente,Cálido,Disco Virtual. Tiempo para vos. Disco SIRVE.
,B,"Claro, Claro",Boca de acceso,2018,Electrónica,[En análisis],[En análisis],Presente,Cálido,4G al subte. La velocidad importa.
,B,"Roemmers, Sertal",Boca de acceso,2018,Droga,[En análisis],[En análisis],Presente,Frío,"Para lo que te cae mal, elegí Sertal. Qué felicidad sentirse bien."
,B,"Gramon Millet, 102 años plus",Boca de acceso,2018,Droga,[En análisis],[En análisis],Presente,Frío,Energía para encarar tu día.
,B,"Telefónica, Movistar",Transiluminado,2012,Electrónica,[En análisis],[En análisis],Presente,Frío,Descargá un capítulo ahora y empezá a verlo dentro del vagón.
,B,"Telefónica, Movistar",Ploteo de piso,2012,Electrónica,[En análisis],[En análisis],Presente,Frío,Descargá lo que quieras así de rápido. Subte B es Zona 4G de Movistar.
,B,"Coca-Cola Company, Coca-Cola",Boca de acceso,2012,Gastronomía,[En análisis],[En análisis],Presente,Cálido,250ml para seguir.